date,close
2016-06-16,0.754487
2016-06-17,0.750733
2016-06-18,0.750115
2016-06-19,0.783831
2016-06-20,0.7611479999999999
2016-06-21,0.752467
2016-06-22,0.716367
2016-06-23,0.715016
2016-06-24,0.747414
2016-06-25,0.724241
2016-06-26,0.726251
2016-06-27,0.716828
2016-06-28,0.737051
2016-06-29,0.745442
2016-06-30,0.740613
2016-07-01,0.752078
2016-07-02,0.764513
2016-07-03,0.736478
2016-07-04,0.74859
2016-07-05,0.7508819999999999
2016-07-06,0.74374
2016-07-07,0.7065170000000001
2016-07-08,0.723247
2016-07-09,0.688656
2016-07-10,0.7188720000000001
2016-07-11,0.698889
2016-07-12,0.72459
2016-07-13,0.713477
2016-07-14,0.7229720000000001
2016-07-15,0.718961
2016-07-16,0.70339
2016-07-17,0.725428
2016-07-18,0.731498
2016-07-19,0.732332
2016-07-20,0.723847
2016-07-21,0.7169989999999999
2016-07-22,0.725499
2016-07-23,0.7156399999999999
2016-07-24,0.704291
2016-07-25,0.699333
2016-07-26,0.687817
2016-07-27,0.695761
2016-07-28,0.719577
2016-07-29,0.7194020000000001
2016-07-30,0.7164050000000001
2016-07-31,0.703059
2016-08-01,0.683442
2016-08-02,0.673654
2016-08-03,0.691477
2016-08-04,0.685404
2016-08-05,0.6805680000000001
2016-08-06,0.692733
2016-08-07,0.698415
2016-08-08,0.691279
2016-08-09,0.679163
2016-08-10,0.671241
2016-08-11,0.66487
2016-08-12,0.662696
2016-08-13,0.65165
2016-08-14,0.631054
2016-08-15,0.602937
2016-08-16,0.617081
2016-08-17,0.6183420000000001
2016-08-18,0.623967
2016-08-19,0.610075
2016-08-20,0.617112
2016-08-21,0.604122
2016-08-22,0.595566
2016-08-23,0.586066
2016-08-24,0.579975
2016-08-25,0.5811149999999999
2016-08-26,0.59107
2016-08-27,0.5742550000000001
2016-08-28,0.5679649999999999
2016-08-29,0.569695
2016-08-30,0.678329
2016-08-31,0.5982770000000001
2016-09-01,0.577202
2016-09-02,0.571702
2016-09-03,0.567393
2016-09-04,0.56585
2016-09-05,0.512133
2016-09-06,0.521025
2016-09-07,0.526929
2016-09-08,0.553717
2016-09-09,0.55947
2016-09-10,0.5514399999999999
2016-09-11,0.534916
2016-09-12,0.575284
2016-09-13,0.578616
2016-09-14,0.567399
2016-09-15,0.554488
2016-09-16,0.550778
2016-09-17,0.545193
2016-09-18,0.54384
2016-09-19,0.548255
2016-09-20,0.558455
2016-09-21,0.5460119999999999
2016-09-22,0.545322
2016-09-23,0.5464289999999999
2016-09-24,0.552294
2016-09-25,0.549849
2016-09-26,0.560392
2016-09-27,0.558002
2016-09-28,0.551876
2016-09-29,0.549222
2016-09-30,0.551686
2016-10-01,0.5524819999999999
2016-10-02,0.5505399999999999
2016-10-03,0.548477
2016-10-04,0.54756
2016-10-05,0.544805
2016-10-06,0.540277
2016-10-07,0.540565
2016-10-08,0.520726
2016-10-09,0.49984399999999996
2016-10-10,0.483005
2016-10-11,0.456451
2016-10-12,0.470005
2016-10-13,0.48595900000000003
2016-10-14,0.49469300000000005
2016-10-15,0.487271
2016-10-16,0.49148500000000006
2016-10-17,0.477917
2016-10-18,0.450751
2016-10-19,0.43665699999999996
2016-10-20,0.458003
2016-10-21,0.45597200000000004
2016-10-22,0.450514
2016-10-23,0.453111
2016-10-24,0.44389300000000004
2016-10-25,0.44927799999999996
2016-10-26,0.44599300000000003
2016-10-27,0.45055
2016-10-28,0.437871
2016-10-29,0.417179
2016-10-30,0.44257799999999997
2016-10-31,0.432359
2016-11-01,0.43255
2016-11-02,0.460236
2016-11-03,0.418358
2016-11-04,0.42918999999999996
2016-11-05,0.427101
2016-11-06,0.424371
2016-11-07,0.41848599999999997
2016-11-08,0.42060699999999995
2016-11-09,0.407553
2016-11-10,0.419419
2016-11-11,0.394146
2016-11-12,0.39561999999999997
2016-11-13,0.41931
2016-11-14,0.408801
2016-11-15,0.413021
2016-11-16,0.418883
2016-11-17,0.41179099999999996
2016-11-18,0.42435200000000006
2016-11-19,0.41713199999999995
2016-11-20,0.41451899999999997
2016-11-21,0.42055299999999995
2016-11-22,0.41413
2016-11-23,0.414005
2016-11-24,0.42904200000000003
2016-11-25,0.43328
2016-11-26,0.41685900000000004
2016-11-27,0.410017
2016-11-28,0.394256
2016-11-29,0.39675
2016-11-30,0.399332
2016-12-01,0.390639
2016-12-02,0.402992
2016-12-03,0.41802799999999996
2016-12-04,0.41936899999999994
2016-12-05,0.40927199999999997
2016-12-06,0.408817
2016-12-07,0.402622
2016-12-08,0.398925
2016-12-09,0.396866
2016-12-10,0.403018
2016-12-11,0.396039
2016-12-12,0.39647899999999997
2016-12-13,0.392859
2016-12-14,0.391403
2016-12-15,0.39828600000000003
2016-12-16,0.393833
2016-12-17,0.395253
2016-12-18,0.394281
2016-12-19,0.381328
2016-12-20,0.38172399999999995
2016-12-21,0.381847
2016-12-22,0.395513
2016-12-23,0.422712
2016-12-24,0.426771
2016-12-25,0.41485500000000003
2016-12-26,0.42141300000000004
2016-12-27,0.41514399999999996
2016-12-28,0.416988
2016-12-29,0.460845
2016-12-30,0.47226
2016-12-31,0.49616400000000005
2017-01-01,0.615531
2017-01-02,0.750974
2017-01-03,0.684825
2017-01-04,0.740504
2017-01-05,0.659227
2017-01-06,0.55024
2017-01-07,0.5947319999999999
2017-01-08,0.577013
2017-01-09,0.546928
2017-01-10,0.572774
2017-01-11,0.497158
2017-01-12,0.507683
2017-01-13,0.528625
2017-01-14,0.516378
2017-01-15,0.514067
2017-01-16,0.517915
2017-01-17,0.5645640000000001
2017-01-18,0.5398109999999999
2017-01-19,0.546496
2017-01-20,0.600642
2017-01-21,0.589749
2017-01-22,0.574974
2017-01-23,0.568833
2017-01-24,0.550682
2017-01-25,0.559841
2017-01-26,0.566042
2017-01-27,0.557353
2017-01-28,0.542103
2017-01-29,0.541459
2017-01-30,0.537438
2017-01-31,0.552567
2017-02-01,0.557483
2017-02-02,0.5483779999999999
2017-02-03,0.5626329999999999
2017-02-04,0.562632
2017-02-05,0.563533
2017-02-06,0.560707
2017-02-07,0.565421
2017-02-08,0.566277
2017-02-09,0.559002
2017-02-10,0.659406
2017-02-11,0.640618
2017-02-12,0.611502
2017-02-13,0.5843079999999999
2017-02-14,0.5533
2017-02-15,0.549632
2017-02-16,0.551685
2017-02-17,0.55728
2017-02-18,0.552746
2017-02-19,0.552856
2017-02-20,0.549504
2017-02-21,0.57128
2017-02-22,0.562705
2017-02-23,0.55082
2017-02-24,0.583245
2017-02-25,0.559312
